# 资料
csh			形状csh等多个文件链接：https://pan.baidu.com/s/1HqJJ21Y2IkjoE3ZknQg_Qw密码：uup0
书籍/迎男而上			书籍《迎男而上》链接：https://pan.baidu.com/s/1YaoAYVv0jUlfl2B54IGtjg密码：kwqu
搭讪/女孩			书籍《逻辑思维推荐：魔鬼搭讪学——这样追女孩真的很容易》链接：https://pan.baidu.com/s/1sBjrM01kTq-mq-_kwiA9PQ密码：x7sd
百度云/网盘			http://pandownload.com/
endnote8			链接：https://pan.baidu.com/s/1QHiHckxyq_C6OqAx6cFwGQ密码：jq50
软件/自学			大学生必备软件免费自学视频教程https://www.dxsbb.com/news/1357.html
互联网/笔试/面试			互联网校招面试笔试题合集链接：https://pan.baidu.com/s/1dRD_T99C_fywxJ8NCXQESw密码：zleu
】/英语			洛基英语VIP学员学习资料链接:http://pan.baidu.com/s/1qYRcgSO【提取密码：836j
清华/口语			清华名师口语教程视频链接：https://pan.baidu.com/s/1mjwOqwC密码：me4j
简历模板			115套简历模板链接：https://pan.baidu.com/s/1nwPlYbf密码：ohc6
书籍			210本优质书籍链接：https://pan.baidu.com/s/1eUjdbDS密码：i036
雅思/自学			雅思自学资料链接：https://pan.baidu.com/s/1kWc6ZGF密码：exl2
PPT/教程			PPT精品教程和素材库链接：https://pan.baidu.com/s/1eTP0n8A密码：loxp
腾讯/求职			独家腾讯2019求职资料包链接：https://pan.baidu.com/s/1i88VGti4LDuw6yRz-lvq0g密码：tbw4
行业			各行业分析报告链接：https://pan.baidu.com/s/1_R1GBL6ZNPwPywuoLPJ7SQ密码：u48r
英语/口语			英语口语大全--日常口语链接：https://pan.baidu.com/s/1i65bTSL密码：zh6x
英语/口语/出国			英语口语大全：出国口语链接：https://pan.baidu.com/s/1i62ueOl密码：iu54
英语/口语			英语口语大全：交际口语链接：https://pan.baidu.com/s/1jJkbivk密码：2991
英语/口语			英语口语大全：商贸口语链接：https://pan.baidu.com/s/1mj6XFo0密码：brb4英语口语大全：职场口语链接：https://pan.baidu.com/s/1kWK6SK3密码：4dj1
英语/专四/专八			专四链接：https://pan.baidu.com/s/1qZGsVoC密码：nr8m专八链接：https://pan.baidu.com/s/1hsXTXEO密码：78qt
